file_size,time,ram,gpu,cpu1,cpu2,cpu3,cpu4,temperature_cpu,temperature_gpu,power_avg
0.6407470703125,0.057817697525024414,1619.9140625,0,16,16,17,21,27.5,25.5,2148
0.6407470703125,15.791564702987671,3046.29296875,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,20.866835832595825,3058.546875,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,25.870781898498535,3057.77734375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,31.080928087234497,3110.05078125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,36.36205840110779,3260.828125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,42.305142402648926,3244.32421875,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,47.449949741363525,3291.703125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,52.724607944488525,3366.55078125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,59.013824462890625,3513.890625,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,66.11727929115295,3592.87890625,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,72.36806750297546,3524.33984375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,78.12778401374817,3497.29296875,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,83.98319339752197,3453.2109375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,89.66259169578552,3469.203125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,94.73796892166138,3459.5625,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,99.7748384475708,3491.50390625,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,104.77774453163147,3486.484375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,110.29464554786682,3490.9375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,0.057817697525024414,1619.9140625,0,16,16,17,21,27.5,25.5,2148
0.6407470703125,15.791564702987671,3046.29296875,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,20.866835832595825,3058.546875,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,25.870781898498535,3057.77734375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,31.080928087234497,3110.05078125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,36.36205840110779,3260.828125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,42.305142402648926,3244.32421875,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,47.449949741363525,3291.703125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,52.724607944488525,3366.55078125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,59.013824462890625,3513.890625,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,66.11727929115295,3592.87890625,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,72.36806750297546,3524.33984375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,78.12778401374817,3497.29296875,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,83.98319339752197,3453.2109375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,89.66259169578552,3469.203125,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,94.73796892166138,3459.5625,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,99.7748384475708,3491.50390625,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,104.77774453163147,3486.484375,3,26,70,34,20,30.0,26.0,3010
0.6407470703125,110.29464554786682,3490.9375,3,26,70,34,20,30.0,26.0,3010
